,"k-cos,f","k-jac,f","k-cos,w","k-jac,w"
Castores_CW_Form_1,21,22,12,4
Castores_CW_Form_10,19,3,12,4
Castores_CW_Form_12,17,14,12,4
Castores_CW_Form_13,2,5,12,4
Castores_CW_Form_13a,6,8,12,4
Castores_CW_Form_13b,1,4,12,4
Castores_CW_Form_14,2,5,12,4
Castores_CW_Form_14a,17,14,12,4
Castores_CW_Form_14b,17,14,12,4
Castores_CW_Form_15,2,5,12,4
Castores_CW_Form_16,17,14,10,11
Castores_CW_Form_17,2,5,12,4
Castores_CW_Form_18,9,11,12,4
Castores_CW_Form_19,22,18,12,4
Castores_CW_Form_2,21,18,12,4
Castores_CW_Form_20,9,11,12,4
Castores_CW_Form_21,9,11,12,4
Castores_CW_Form_22,17,14,12,4
Castores_CW_Form_23,9,11,12,4
Castores_CW_Form_24a,17,14,12,4
Castores_CW_Form_25,17,14,12,4
Castores_CW_Form_26,17,14,12,4
Castores_CW_Form_27,17,14,12,4
Castores_CW_Form_28,17,14,12,4
Castores_CW_Form_3,21,18,12,4
Castores_CW_Form_4,21,22,12,4
Castores_CW_Form_5,17,14,12,4
Castores_CW_Form_6,21,18,12,4
Castores_CW_Form_8,17,14,12,4
Castores_CW_Form_9,19,3,12,4
Castores_Ephesian-Ionian_Bowl,18,1,24,12
Castores_Italo-Megarian_Bowl_Form_1,18,1,24,12
Castores_PRW_Form_1,20,17,11,10
Castores_PRW_Form_2,20,17,11,10
Castores_PRW_Form_3,20,17,11,10
Castores_PRW_Form_4,20,17,11,10
Castores_PRW_Form_5,20,17,11,10
Castores_PRW_Form_6,17,14,11,10
Castores_PRW_Form_7,17,14,11,10
Castores_PRW_Form_8,20,17,11,10
Castores_TWW_Form_10,17,14,22,22
Castores_TWW_Form_11,18,1,22,22
Castores_TWW_Form_12,19,2,22,22
Castores_TWW_Form_13,19,2,22,22
Castores_TWW_Form_14,19,2,22,22
Castores_TWW_Form_15,19,2,22,22
Castores_TWW_Form_16,17,14,22,22
Castores_TWW_Form_17,19,2,22,22
Castores_TWW_Form_18,19,3,22,22
Castores_TWW_Form_19,19,3,22,22
Castores_TWW_Form_1a,17,14,22,22
Castores_TWW_Form_1b,17,14,22,22
Castores_TWW_Form_1c,17,14,22,22
Castores_TWW_Form_2,17,14,22,22
Castores_TWW_Form_20,19,3,22,22
Castores_TWW_Form_21,17,14,22,22
Castores_TWW_Form_3,17,14,22,22
Castores_TWW_Form_4,24,22,22,22
Castores_TWW_Form_5,24,22,22,22
Castores_TWW_Form_6,17,14,22,22
Castores_TWW_Form_7,5,8,22,22
Castores_TWW_Form_8,17,14,22,22
Castores_TWW_Form_9,17,14,22,22
Dyson_1976_16IV1,22,18,16,6
Dyson_1976_16IV18,17,14,16,6
Dyson_1976_16IV19,17,14,16,6
Dyson_1976_16IV2,22,18,16,6
Dyson_1976_16IV20,17,14,16,6
Dyson_1976_16IV21,17,14,16,6
Dyson_1976_16IV22,9,11,16,6
Dyson_1976_16IV3,22,18,16,6
Dyson_1976_16IV33,9,11,16,6
Dyson_1976_16IV49,9,11,16,6
Dyson_1976_16IV63,17,14,17,7
Dyson_1976_16IV7,22,18,16,6
Dyson_1976_16IV8,22,18,16,6
Dyson_1976_22II10,16,14,16,6
Dyson_1976_22II11,16,14,17,7
Dyson_1976_22II110,17,14,17,7
Dyson_1976_22II111,17,14,17,7
Dyson_1976_22II112,17,14,17,7
Dyson_1976_22II114,17,14,17,7
Dyson_1976_22II12,16,14,16,6
Dyson_1976_22II124,17,14,17,7
Dyson_1976_22II24,16,14,16,6
Dyson_1976_22II25,16,14,16,6
Dyson_1976_22II3,16,14,16,6
Dyson_1976_22II39,22,18,16,6
Dyson_1976_22II40,22,18,16,6
Dyson_1976_22II46,22,18,16,6
Dyson_1976_22II52,9,11,16,6
Dyson_1976_22II54,9,11,16,6
Dyson_1976_22II57,9,11,16,6
Dyson_1976_22II63,9,11,16,6
Dyson_1976_22II68,9,11,16,6
Dyson_1976_22II7,16,14,16,6
Dyson_1976_22II88,17,14,17,7
Dyson_1976_22II97,17,14,17,7
Dyson_1976_CF10,22,18,16,6
Dyson_1976_CF11,22,18,16,6
Dyson_1976_CF12,22,18,16,6
Dyson_1976_CF16,9,11,16,6
Dyson_1976_CF17,9,11,16,6
Dyson_1976_CF30,9,11,16,6
Dyson_1976_CF31,9,11,16,6
Dyson_1976_CF32,9,11,16,6
Dyson_1976_CF36,9,11,16,6
Dyson_1976_CF39,9,11,16,6
Dyson_1976_CF57,9,11,16,6
Dyson_1976_CF6,22,18,16,6
Dyson_1976_CF7,22,18,16,6
Dyson_1976_CF72,17,14,17,7
Dyson_1976_FG12,22,18,16,6
Dyson_1976_FG13,22,18,16,6
Dyson_1976_FG14,22,18,16,6
Dyson_1976_FG34,9,11,16,6
Dyson_1976_FG35,9,11,16,6
Dyson_1976_FG40,9,11,16,6
Dyson_1976_FG49,17,14,16,6
Dyson_1976_FG50,17,14,16,6
Dyson_1976_LS116,17,14,17,7
Dyson_1976_LS19,16,14,16,6
Dyson_1976_LS2,16,14,16,6
Dyson_1976_LS20,16,14,16,6
Dyson_1976_LS22,16,14,16,6
Dyson_1976_LS3,16,14,16,6
Dyson_1976_LS31,16,14,16,6
Dyson_1976_LS4,16,14,16,6
Dyson_1976_LS49,22,18,16,6
Dyson_1976_LS66,9,11,16,6
Dyson_1976_LS72,9,11,16,6
Dyson_1976_LS80,9,11,16,6
Dyson_1976_LS92,17,14,16,6
